obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
big-sioux-brewing-company-humboldt,Big Sioux Brewing Company,planning,,,,Humboldt,South Dakota,,57035-6106,,,2018-07-24,2018-08-11,United States,,,
buffalo-ridge-brewing-hartford,Buffalo Ridge Brewing,planning,,,,Hartford,South Dakota,,57033,http://www.bentbarrel.com,6059996569,2018-07-24,2018-08-11,United States,,,
crow-peak-brewing-co-spearfish,Crow Peak Brewing Co,micro,125 W Highway 14,,,Spearfish,South Dakota,,57783-1150,http://www.crowpeakbrewing.com,6057170006,2018-07-24,2018-08-24,United States,-103.8706684,44.5175219,
dakota-point-brewing-llc-rapid-city,Dakota Point Brewing LLC,micro,405 Canal St Ste 1200,,,Rapid City,South Dakota,,57701-2577,http://www.dakotapointbrewing.com,6057912739,2018-07-24,2018-08-11,United States,,,
dakota-shivers-brewing-lead,Dakota Shivers Brewing,micro,717 W Main St,,,Lead,South Dakota,,57754-1539,http://www.dakotashiversbrewing.com,6054155352,2018-07-24,2018-08-24,United States,-103.7721626,44.35111622,
dakota-territory-brewing-aberdeen,Dakota Territory Brewing,planning,,,,Aberdeen,South Dakota,,57401-4138,,6052166650,2018-07-24,2018-08-11,United States,,,
dempseys-brewery-pub-watertown,"Dempseys Brewery, Pub",brewpub,127 N Broadway,,,Watertown,South Dakota,,57201-3525,,,2018-07-24,2018-08-11,United States,,,
eponymous-brewing-co-brookings,Eponymous Brewing Co,micro,126 Main Ave S,,,Brookings,South Dakota,,57006-3038,http://www.eponymousbrewing.com,6056922739,2018-07-24,2018-08-24,United States,-96.79881257,44.30472165,
fernson-brewing-company-sioux-falls,Fernson Brewing Company,micro,1400 E Robur Dr,,,Sioux Falls,South Dakota,,57104-0582,http://fernson.com,6057893822,2018-07-24,2018-08-24,United States,-96.70852613,43.60785297,
firehouse-brewing-co-rapid-city,Firehouse Brewing Co,brewpub,610 Main St,,,Rapid City,South Dakota,,57701-2736,http://www.firehousebrewing.com,6053481915,2018-07-24,2018-08-24,United States,-103.2275562,44.08144085,
gandy-dancer-brew-works-sioux-falls,Gandy Dancer Brew Works,brewpub,420 E 8th St,,,Sioux Falls,South Dakota,,57103-7025,http://www.monkshouseofalerepute.com,6053519268,2018-07-24,2018-08-24,United States,-96.7218594,43.5488749,
granite-city-food-brewery-2-sioux-falls,Granite City Food & Brewery (#2),brewpub,2620 S Louise Ave,,,Sioux Falls,South Dakota,,57106-4329,http://www.gcfb.net,6053620000,2018-07-24,2018-08-24,United States,-96.7727844,43.52337192,
hay-camp-brewing-company-rapid-city,Hay Camp Brewing Company,micro,601 Kansas City St,,,Rapid City,South Dakota,,57701-3622,http://www.haycampbrewing.com,6057181167,2018-07-24,2018-08-24,United States,-103.227816,44.07889,
highway-79-brewery-hot-springs,Highway 79 Brewery,brewpub,27631 SD Hwy 79,,,Hot Springs,South Dakota,,57747,,,2018-07-24,2018-08-11,United States,,,
lean-horse-productions-spearfish,Lean Horse Productions,contract,600 Meier Ave,,,Spearfish,South Dakota,,57783-1991,,6056413534,2018-07-24,2018-08-11,United States,,,
lost-cabin-beer-co-rapid-city,Lost Cabin Beer Co.,micro,1401 W Omaha St Ste 3,,,Rapid City,South Dakota,,57701-3163,http://www.lostcabin.beer,6057185678,2018-07-24,2018-08-11,United States,,,
miner-brewing-co-hill-city,Miner Brewing Co,brewpub,23845 Highway 385,,,Hill City,South Dakota,,57745-6517,http://www.minerbrewing.com,6055742886,2018-07-24,2018-08-11,United States,,,
mt-rushmore-brewing-company-custer,Mt. Rushmore Brewing Company,brewpub,140 Mt Rushmore Rd,,,Custer,South Dakota,,57730-1829,http://www.mtrushmorebrewing.com,,2018-07-24,2018-08-24,United States,-103.605392,43.764722,
one-legged-pheasant-brewery-aberdeen,One Legged Pheasant Brewery,planning,,,,Aberdeen,South Dakota,,57401-6016,,6164859226,2018-07-24,2018-08-11,United States,,,
panacea-brewing-company-remedy-brewing-company-sioux-falls,Panacea Brewing Company / Remedy Brewing Company,brewpub,401 E 8th St Ste 120,,,Sioux Falls,South Dakota,,57103-7012,http://www.remedybrewco.com,6052141327,2018-07-24,2018-08-11,United States,,,
severance-brewing-company-brandon,Severance Brewing Company,planning,,,,Brandon,South Dakota,,57005-3048,http://www.severancebrewingcompany.com,6052164256,2018-07-24,2018-08-11,United States,,,
sick-n-twisted-brewing-co-hill-city,Sick N Twisted Brewing Co,brewpub,23851 Highway 385 Ste A,,,Hill City,South Dakota,,57745-6544,,6055742454,2018-07-24,2018-08-11,United States,,,
spearfish-brewing-company-spearfish,Spearfish Brewing Company,micro,,,,Spearfish,South Dakota,,57783-4147,http://spearfishbrewing.com,,2018-07-24,2018-08-11,United States,,,
the-knuckle-brewing-company-sturgis,The Knuckle Brewing Company,brewpub,918 2nd St,,,Sturgis,South Dakota,,57785-1510,,6055619846,2018-07-24,2018-08-24,United States,-103.5125733,44.41477396,
wooden-legs-brewing-co-brookings,Wooden Legs Brewing Co,brewpub,309 5th St Ste 100,,,Brookings,South Dakota,,57006-1963,http://www.woodenlegsbrewing.com,6056922337,2018-07-24,2018-08-24,United States,-96.7996148,44.3104741,
woodgrain-brewing-company-sioux-falls,WoodGrain Brewing Company,micro,101 S Phillips Ave Ste 100,,,Sioux Falls,South Dakota,,57104-6719,http://www.woodgrainbrew.com,6053105316,2018-07-24,2018-08-11,United States,,,
