id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
6751228c-5373-4a54-8d68-72df6849a437,26 Degree Brewing Company,micro,2600 E Atlantic Blvd,,,Pompano Beach,Florida,33062-4940,United States,9545326964,,-80.1224169,26.2316338
065200ec-51cf-4612-b1b9-61f7db489c3c,3 Daughters Brewing,micro,222 22nd St S,,,Saint Petersburg,Florida,33712-1240,United States,7274956002,http://www.3dbrewing.com,-82.6629721,27.76899022
1218736c-bfcf-4b95-b473-7399aaf60d1d,"3 Keys Brewing Company, LLC",brewpub,2505 Manatee Ave E,,,Bradenton,Florida,34208-2421,United States,9412180396,http://www.3keysbrewing.com,-82.53393502,27.49645026
e2ddeea8-03d4-43e7-bfd0-d27797b9d016,3 Sons Brewing Co.,proprietor,236 N Federal Hwy,,,Dania,Florida,33004-2870,United States,9546013833,http://www.3sonsbrewingco.com,-80.14361029,26.04800238
370fdc3b-55a0-43f0-a54e-f617a7cec7b8,3rd Planet Brewing,micro,120 Partin Dr N,,,Niceville,Florida,32578-2053,United States,8505029952,http://www.facebook.com/3rdplanetbrewing/,,
c179a049-9988-4640-821d-ddf349cdd87e,7venth Sun Brewery,micro,1012 Broadway,,,Dunedin,Florida,34698-5762,United States,7277333013,http://www.7venthsun.com,,
4679ff59-8ef6-4443-b6ec-f58232c6b7d7,7venth Sun Tampa,micro,6809 N Nebraska Ave,,,Tampa,Florida,33604-5660,United States,8132315900,,-82.4500207,27.9495902
783c5daa-ea5c-4462-836e-c2846ad3ff4e,81Bay Brewing Company,micro,4465 W Gandy Blvd Ste 600,,,Tampa,Florida,33611-3379,United States,8133722739,http://81baybrewco.com,,
88a7ac77-a52b-4496-91df-b41e5831a568,A Little Madness Brewing Company,planning,,,,Pensacola,Florida,32514-8122,United States,,http://www.ALittleMadnessBrewingCompany.com,,
5b627789-ff7e-4890-a7cf-24572bf547a2,Aardwolf Brewing Company,micro,1461 Hendricks Ave,,,Jacksonville,Florida,32207-8622,United States,9043010755,http://www.aardwolfbrewing.com,-81.6545197,30.3108962
9c7b9f2a-6deb-44a1-9b3e-f83952a4db38,Abbey Brewing Co,contract,1115 16th St,,,Miami Beach,Florida,33139-2441,United States,3055388110,,-80.1402943,25.7890381
ec26cd9a-540f-4f23-b030-670115eed645,Alcatraz Brewing,micro,20 Ocean Vista Ln,,,Palm Coast,Florida,32137-2743,United States,3866278909,http://www.alcatraz.beer,-81.19287028,29.61781196
10795316-cc0d-42d7-80c7-e237aae40a06,Alligator Brewing / Tall Paul's Brewhouse,micro,10 SE 2nd Ave,,,Gainesville,Florida,32601-6232,United States,3525050990,,-82.3222523,29.6502615
f02ee574-d02d-486f-8d2e-851ad54b25ab,Amelia Island Brewing Company,brewpub,318 Centre St,,,Fernandina Beach,Florida,32034-4241,United States,9043106088,http://www.theameliatavern.com,-81.46236272,30.67106045
6ec8cb60-72f6-4c30-af4b-3e59e736b3fc,American Icon Brewery,brewpub,1133 19th Place,,,Vero Beach,Florida,32960,United States,7729344266,http://www.americaniconbrewery.com,-80.3955067,27.63674361
045441f8-1882-4960-9e4d-0a32d24625e6,Americana Brewery,planning,,,,Fort Lauderdale,Florida,33328-1606,United States,,,,
6c8aafd9-6e4a-4f1d-9dc0-a5e4cb710dce,Ancient City Brewing Co.,micro,3420 Agricultural Center Dr Ste 8,,,Saint Augustine,Florida,32092-0690,United States,9044299654,http://www.ancientcitybrewing.com,,
d4e376b6-3aad-46ae-ae8d-471791ae03f8,"Angry Chair Brewing, LLC.",micro,6401 N Florida Ave,,,Tampa,Florida,33604-6007,United States,8138921651,http://www.angrychairbrewing.com,-82.459381,28.005127
a7e9194f-28a7-4fb8-85fb-38ee669b66e6,Anheuser-Busch Inc â Jacksonville,large,111 Busch Dr,,,Jacksonville,Florida,32218-5546,United States,9047510700,,-81.6481156,30.4319552
236cb5e3-d827-453a-a3a4-5a4d59d87adf,Ankrolab Brewing Company,planning,,,,Naples,Florida,34112-6363,United States,2394511223,http://ankrolab.com,,
5acdc1a1-5631-4c03-960c-bd076237f124,Arkane Aleworks,micro,2480 E Bay Dr #23,,,Largo,Florida,33771-2467,United States,7272707117,http://www.arkanebeer.com,,
4e0403f6-c040-4d4c-b9fe-1f5a115b0172,Atlantic Beach Brewing Company,micro,725 Atlantic Blvd Suite 3,,,Atlantic Beach,Florida,32233-3946,United States,9048948426,http://www.atlanticbeachbrewingcompany.com,,
1d5ac885-33a0-4bed-971b-dfb24772eb0b,Backyard Barn Winery and Microbrewery,micro,1945 E County Road 462,,,Wildwood,Florida,34785-8594,United States,3524187887,http://www.backyardbardwinery.com,,
e049fe2d-95ad-4c99-8c93-439f39339b60,Bangin' Banjo Brewing Company,micro,3200 NW 23rd Ave Ste 500,,,Pompano Beach,Florida,33069-5909,United States,9549783113,http://www.banginbanjobrewing.com,,
