id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
5128df48-79fc-4f0f-8b52-d06be54d0cec,(405) Brewing Co,micro,1716 Topeka St,,,Norman,Oklahoma,73069-8224,United States,4058160490,http://www.405brewing.com,-97.46818222,35.25738891
9c5a66c8-cc13-416f-a5d9-0a769c87d318,(512) Brewing Co,micro,407 Radam Ln Ste F200,,,Austin,Texas,78745-1197,United States,5129211545,http://www.512brewing.com,,
34e8c68b-6146-453f-a4b9-1f6cd99a5ada,1 of Us Brewing Company,micro,8100 Washington Ave,,,Mount Pleasant,Wisconsin,53406-3920,United States,2624847553,https://www.1ofusbrewing.com,-87.88336350209435,42.72010826899558
6d14b220-8926-4521-8d19-b98a2d6ec3db,10 Barrel Brewing Co,large,62970 18th St,,,Bend,Oregon,97701-9847,United States,5415851007,http://www.10barrel.com,-121.281706,44.08683531
e2e78bd8-80ff-4a61-a65c-3bfbd9d76ce2,10 Barrel Brewing Co,large,1135 NW Galveston Ave Ste B,,,Bend,Oregon,97703-2465,United States,5415851007,,-121.3288021,44.0575649
e432899b-7f58-455f-9c7b-9a6e2130a1e0,10 Barrel Brewing Co,large,1411 NW Flanders St,,,Portland,Oregon,97209-2620,United States,5032241700,http://www.10barrel.com,-122.6855056,45.5259786
ef970757-fe42-416f-931d-722451f1f59c,10 Barrel Brewing Co,large,1501 E St,,,San Diego,California,92101-6618,United States,6195782311,http://10barrel.com,-117.129593,32.714813
9f1852da-c312-42da-9a31-097bac81c4c0,10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,,,Bend,Oregon,97701,United States,5415851007,,-121.2809536,44.0912109
ea4f30c0-bce6-416b-8904-fab4055a7362,10 Barrel Brewing Co - Boise,large,826 W Bannock St,,,Boise,Idaho,83702-5857,United States,2083445870,http://www.10barrel.com,-116.202929,43.618516
1988eb86-f0a2-4674-ba04-02454efa0d31,10 Barrel Brewing Co - Denver,large,2620 Walnut St,,,Denver,Colorado,80205-2231,United States,7205738992,,-104.9853655,39.7592508
1ecc330f-6275-42a5-b14e-00adbed62752,10 Torr Distilling and Brewing,micro,490 Mill St,,,Reno,Nevada,89502,United States,7755307014,http://www.10torr.com,-119.7732015,39.5171702
7531dbd8-afc9-4b5b-95bc-7ece7f2c0bf3,10-56 Brewing Company,micro,400 Brown Cir,,,Knox,Indiana,46534,United States,6308165790,,-86.627954,41.289715
49eaa1ab-5cee-40cd-a0dc-da14ba2b7dac,1000 Hills Brewing Company,brewpub,168 Old Main Road,Botha's Hill,,Durban,KwaZulu-Natal,3610,South Africa,+27 31 777 1566,https://1000hillsbrewingcompany.co.za/,30.7063,-29.7711
5ae467af-66dc-4d7f-8839-44228f89b596,101 North Brewing Company,closed,1304 Scott St Ste D,,,Petaluma,California,94954-7100,United States,7077534934,http://www.101northbeer.com,-122.665055,38.27029381
4ffda196-dd59-44a5-9eeb-5f7fd4b58f5a,105 West Brewing Co,micro,1043 Park St,,,Castle Rock,Colorado,80109-1585,United States,3033257321,http://www.105westbrewing.com,-104.8667206,39.38269495
42aa37d5-8384-4ffe-8c81-7c982eff0384,10K Brewing,micro,2005 2nd Ave,,,Anoka,Minnesota,55303-2243,United States,7633924753,http://10KBrew.com,-93.38952559,45.19812039
232e8f62-9afc-45f5-b4bc-582c26b5c43b,10th District Brewing Company,micro,491 Washington St,,,Abington,Massachusetts,02351-2419,United States,7813071554,http://www.10thdistrictbrewing.com,-70.94594149,42.10591754
08f78223-24f8-4b71-b381-ea19a5bd82df,11 Below Brewing Company,micro,6820 Bourgeois Rd,,,Houston,Texas,77066-3107,United States,2814442337,http://www.11belowbrewing.com,-95.5186591,29.9515464
